SampleID	Sample	SampleNo	Organism	Date_collected	ExtDate	ExtBy	PlateNo	PlateWell	Type	Zoo	F	R	DNA_Extraction_Weight_g	Gender	Stage	Ext_Blank	PCR_Neg	Keep	Mixed	OH_band	In_analysis
BG041_F06	BG041	41	Ejac	12-Jun-21	14/12/2021	IB	1	F01	faeces	Currumbin	F06	R01	0.1	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
BG044_F06	BG044	44	Ejac	16-Jun-21	14/12/2021	IB	1	F02	faeces	Currumbin	F06	R02	0.17	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
BG047_F06	BG047	47	Ejac	19-Jun-21	14/12/2021	IB	1	F03	faeces	Currumbin	F06	R03	0.24	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
BG051_F07	BG051	51	Bergu	7-Jun-21	20/12/2021	AD	1	G11	faeces	Currumbin	F07	R11	0.26	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
BG057_F07	BG057	57	Bergu	16-Jun-21	20/12/2021	AD	1	G12	faeces	Currumbin	F07	R12	0.27	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
BG060_F08	BG060	60	Bergu	19-Jun-21	20/12/2021	AD	1	H01	faeces	Currumbin	F08	R01	0.25	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
BG063_F05	BG063	63	Bergu	23-Jun-21	14/12/2021	IB	1	E12	faeces	Currumbin	F05	R12	0.22	Male	Male	FALSE	FALSE	No	Yes	Y	TRUE
EJ037_F10	EJ037	37	Ejac	6-Jun-21	20/12/2021	AD	2	B08	faeces	Currumbin	F10	R08	0.24	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GD015_F06	GD015	15	Gunduwa	24-Jul-21	14/12/2021	IB	1	F05	faeces	Currumbin	F06	R05	0.22	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GD016_F10	GD016	16	Gunduwa	25-Jul-21	20/12/2021	AD	2	B11	faeces	Currumbin	F10	R11	0.12	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GD017_F10	GD017	17	Gunduwa	31-Jul-21	20/12/2021	AD	2	B12	faeces	Currumbin	F10	R12	0.36	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GD018_F11	GD018	18	Gunduwa	2-Aug-21	20/12/2021	AD	2	C01	faeces	Currumbin	F11	R01	0.22	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GD019_F06	GD019	19	Gunduwa	15-Aug-21	14/12/2021	IB	1	F06	faeces	Currumbin	F06	R06	0.2	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GD028_F06	GD028	28	Glow	16-Jun-21	14/12/2021	IB	1	F07	faeces	Currumbin	F06	R07	0.22	Male	Male	FALSE	FALSE	Yes	No	F	TRUE
GD034_F06	GD034	34	Glow	23-Jun-21	14/12/2021	IB	1	F08	faeces	Currumbin	F06	R08	0.19	Male	Male	FALSE	FALSE	No	Yes	Y	TRUE
GW021_F11	GW021	21	Glow	6-Jun-21	20/12/2021	AD	2	C02	faeces	Currumbin	F11	R02	0.14	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
GW025_F11	GW025	25	Glow	12-Jun-21	20/12/2021	AD	2	C03	faeces	Currumbin	F11	R03	0.35	Male	Male	FALSE	FALSE	Yes	No	N	TRUE
GW031_F11	GW031	31	Glow	19-Jun-21	20/12/2021	AD	2	C04	faeces	Currumbin	F11	R04	0.22	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
TY055_F03	TY055	55	Tachy	30-Aug-21	30/11/2021	AD	1	C03	faeces	Currumbin	F03	R03	0.6	Female	Not_breeding	FALSE	FALSE	Yes	No	N	FALSE
GW035_F11	GW035	35	Glow	2-Aug-21	20/12/2021	AD	2	C05	faeces	Currumbin	F11	R05	0.2	Male	Male	FALSE	FALSE	Yes	No	Y	TRUE
